分区名称	死库容	死水位	低库容	低水位	中库容	中水位	高库容	高水位	超蓄库容	超蓄水位
黛山平原区	0	0.0	1760	3.4	2100	3.7	2450	4.0	2683.333333333333	4.2
青洲平原区	0	0.0	3270	3.4	4340	3.7	5420	4.0	6140.0	4.2
泽原平原区	0	0.0	21180	3.4	24480	3.7	27900	4.0	30180.0	4.2
泊北平原上河区	0	0.0	1644	2.5	1936	2.7	2543	3.1	2846.5	3.3
泊北平原中河区	0	0.0	485	2.1	534	2.3	635	2.6	702.3333333333333	2.8
临溪平原上河区	0	0.0	570	2.5	664	2.7	852	3.1	946.0	3.3
临溪平原下河区	0	0.0	2166	1.93	2515	2.13	3006	2.43	3333.333333333333	2.63
临溪平原柳浦中河区	0	-0.5	2166	1.33	2515	1.43	3006	1.53	3987.999999999999	1.73
望潮平原西河区	0	0.0	1878	2.13	2870	2.53	4109	2.93	4728.499999999999	3.13
望潮平原中河区	0	-0.5	1702	1.63	2510	1.93	3182	2.13	3854.0	2.33
望潮平原东河区	0	-0.5	1606	1.23	2813	1.63	3944	1.93	4698.0	2.13
安和平原区	0	0.0	370	3.3	460	3.6	550	3.9	610.0	4.1
临溪平原澄江上游区	0	-0.5	2166	0.93	2515	1.13	3006	1.33	3497.0	1.53
临溪平原澄江下游区	0	-0.5	2102	0.73	2206	0.93	2447	1.13	2688.0	1.33
岸洲滨湾平原区	0	-0.5	506	0.73	925	1.13	1158	1.33	1391.0	1.53
晨湾平原区	0	-0.5	1012	0.96	1409	1.36	1731	1.66	1945.666666666667	1.86
环屿大陆用水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
澄江沿线大工业用水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
澜亭调水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
