TIME	安和平原区	临溪平原上河区	临溪平原下河区	临溪平原澄江上游区	临溪平原澄江下游区	青洲平原区	澄江沿线大工业用水区	望潮平原西河区	望潮平原中河区	望潮平原东河区	岸洲滨湾平原区	晨湾平原区	泽原平原区	环屿大陆用水区	泊北平原上河区	泊北平原中河区	黛山平原区	澜亭调水区	临溪平原柳浦中河区
2025/06/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
