TIME	安和平原区	临溪平原上河区	临溪平原下河区	临溪平原澄江上游区	临溪平原澄江下游区	青洲平原区	澄江沿线大工业用水区	望潮平原西河区	望潮平原中河区	望潮平原东河区	岸洲滨湾平原区	晨湾平原区	泽原平原区	环屿大陆用水区	泊北平原上河区	泊北平原中河区	黛山平原区	澜亭调水区	临溪平原柳浦中河区
2025/06/15	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/16	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/17	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/18	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/19	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/20	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/21	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/22	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/23	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/24	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/25	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/26	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/27	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
