平原名称	灌溉保证率	小麦	玉米	大豆	油菜	花生	马铃薯	棉花	甘蔗	萝卜	大白菜	小白菜	芥菜	西瓜	单季稻	双季稻
安和平原区	90	4.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.019	27.414
临溪平原上河区	90	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.015	1.267
临溪平原下河区	90	3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.611	21.277
临溪平原澄江上游区	90	8.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.349	9.005
临溪平原澄江下游区	90	5.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.946	10.939
青洲平原区	90	21.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.526	2.801
澄江沿线大工业用水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
望潮平原西河区	90	93.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.011	0.267
望潮平原中河区	90	84.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.95	0.934
望潮平原东河区	90	73.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.888	2.068
岸洲滨湾平原区	90	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.616	16.542
晨湾平原区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
泽原平原区	90	35.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.05	41.221
环屿大陆用水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
泊北平原上河区	90	48.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.888	20.61
泊北平原中河区	90	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.468	4.202
黛山平原区	90	5.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.469	0.133
澜亭调水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
临溪平原柳浦中河区	90	0.748	1.782	0.004	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	4.202	5.736
