日期	黛山平原区	青洲平原区	泽原平原区	泊北平原上河区	泊北平原中河区	临溪平原上河区	临溪平原下河区	临溪平原柳浦中河区	安和平原区	望潮平原西河区	望潮平原中河区	望潮平原东河区	临溪平原澄江上游区	临溪平原澄江下游区	岸洲滨湾平原区	青川江江道	澄江江道
2025/05/14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
